,Movie Title,release Year,Genres,IMBD Rating,Runtime/Duration,Age Rating,Production Countries,Streaming Service,Movie URLs
63,K.G.F: Chapter 2,(2022),"Drama, Mystery & Thriller, Action & Adventure, Crime",8.3  (150k),2h 46min,UA,India,India,https://www.justwatch.com/in/movie/k-g-f-chapter-2
64,Rebel,(2024),Reality TV,4.8,2h 30min,,India,India,https://www.justwatch.com/in/movie/rebel-2024
65,Maidaan,(2022),"Drama, History, Sport",8.8  (12k),3h 1min,,India,India,https://www.justwatch.com/in/movie/maidaan
66,Crakk: Jeetega... Toh Jiyegaa,(2024),"Mystery & Thriller, Action & Adventure, Sport",6.5  (4k),2h 34min,,India,India,https://www.justwatch.com/in/movie/crakk-jeetegaa-toh-jiyegaa
67,Interstellar,(2014),"Action & Adventure, Drama, Science-Fiction",8.7  (2m),2h 49min,,"United Kingdom, United States",India,https://www.justwatch.com/in/movie/interstellar
68,Yodha,(2024),"Action & Adventure, Mystery & Thriller, Drama",6.3  (4k),2h 10min,,"India, United States",India,https://www.justwatch.com/in/movie/yodha-2022
69,Family Star,(2024),"Drama, Kids & Family, Romance, Action & Adventure, Comedy",5.6  (1k),2h 39min,,India,India,https://www.justwatch.com/in/movie/family-star
70,Pushpa: The Rise,(2021),"Drama, Mystery & Thriller, Action & Adventure, Crime",7.6  (87k),2h 59min,UA,India,India,https://www.justwatch.com/in/movie/pushpa
71,Tomb Raider,(2018),"Fantasy, Action & Adventure, Mystery & Thriller",6.3  (226k),1h 58min,,"United States, Japan, United Kingdom",India,https://www.justwatch.com/in/movie/tomb-raider
72,Main Atal Hoon,(2024),Drama,7.0  (4k),2h 19min,UA,India,India,https://www.justwatch.com/in/movie/main-atal-hoon
73,Godzilla,(2014),"Science-Fiction, Action & Adventure, Mystery & Thriller",6.4  (434k),2h 3min,,United States,India,https://www.justwatch.com/in/movie/godzilla
74,The Wolf of Wall Street,(2013),"Drama, Comedy, Crime",8.2  (1m),3h 0min,A,United States,India,https://www.justwatch.com/in/movie/the-wolf-of-wall-street
75,Kong: Skull Island,(2017),"Fantasy, Action & Adventure, Science-Fiction",6.6  (306k),1h 58min,,"China, United States",India,https://www.justwatch.com/in/movie/kong-skull-island
76,Jatt Nuu Chudail Takri,(2024),"Comedy, Drama, Fantasy",7.8  (3k),2h 35min,,India,India,https://www.justwatch.com/in/movie/jatt-nuu-chudail-takri
77,Farrey,(2023),"Crime, Drama, Mystery & Thriller",6.2  (5k),2h 10min,UA,India,India,https://www.justwatch.com/in/movie/farrey
78,Jawan,(2023),"Action & Adventure, Mystery & Thriller, Drama",7.0  (94k),2h 49min,UA,India,India,https://www.justwatch.com/in/movie/jawan
79,Godzilla: King of the Monsters,(2019),"Science-Fiction, Action & Adventure, Fantasy",6.0  (206k),2h 12min,UA,"United States, China, Japan",India,https://www.justwatch.com/in/movie/godzilla-king-of-the-monsters
80,Ravening,(2019),"Drama, Fantasy, Horror, Romance",7.9  (3k),1h 47min,UA,India,India,https://www.justwatch.com/in/movie/ravening
81,Operation Valentine,(2024),"War & Military, Mystery & Thriller, Action & Adventure, Drama",5.2,2h 10min,,India,India,https://www.justwatch.com/in/movie/operation-valentine
82,Ayalaan,(2024),"Action & Adventure, Science-Fiction",6.0  (3k),2h 35min,,India,India,https://www.justwatch.com/in/movie/ayalaan
83,Yatra 2,(2024),"Drama, History",8.0  (9k),2h 12min,,India,India,https://www.justwatch.com/in/movie/yatra-2
84,Kung Fu Panda 2,(2011),"Animation, Kids & Family, Comedy, Fantasy, Action & Adventure, Drama",7.3  (320k),1h 31min,U,United States,India,https://www.justwatch.com/in/movie/kung-fu-panda-2
85,Death Whisperer,(2023),"Horror, Mystery & Thriller",6.1  (1k),2h 1min,A,Thailand,India,https://www.justwatch.com/in/movie/tee-yod
86,The Gentlemen,(2020),"Action & Adventure, Crime, Comedy",7.8  (398k),1h 53min,A,"United Kingdom, United States",India,https://www.justwatch.com/in/movie/the-gentlemen
87,Emily the Criminal,(2022),"Crime, Drama, Mystery & Thriller",6.7  (54k),1h 37min,,United States,India,https://www.justwatch.com/in/movie/emily-the-criminal
88,Damsel,(2024),"Fantasy, Action & Adventure",6.1  (77k),1h 50min,,United States,India,https://www.justwatch.com/in/movie/damsel-2023
89,Red Eye,(2005),"Mystery & Thriller, Made in Europe",6.5  (139k),1h 25min,U,United States,India,https://www.justwatch.com/in/movie/red-eye
90,"New York, I Love You",(2008),"Drama, Comedy, Romance, Made in Europe",6.2  (47k),1h 43min,,United States,India,https://www.justwatch.com/in/movie/new-york-i-love-you
91,Dada,(2023),"Comedy, Romance, Drama, Kids & Family",8.1  (5k),2h 15min,U,India,India,https://www.justwatch.com/in/movie/dada-2023
92,Barbie,(2023),"Comedy, Action & Adventure, Fantasy",6.8  (533k),1h 54min,UA,"United Kingdom, United States",India,https://www.justwatch.com/in/movie/barbie-2023
93,Tillu Square,(2024),"Comedy, Drama, Mystery & Thriller, Crime",7.3  (1k),2h 27min,,India,India,https://www.justwatch.com/in/movie/tillu-square
94,Perfect Days,(2023),Drama,7.9  (34k),2h 4min,,"Japan, Germany",India,https://www.justwatch.com/in/movie/perfect-days
95,2012,(2009),"Action & Adventure, Science-Fiction",5.8  (397k),2h 38min,,United States,India,https://www.justwatch.com/in/movie/2012
96,Rebel Moon - Part Two: The Scargiver,(2024),"Science-Fiction, Drama, Fantasy, Action & Adventure",5.2  (10k),2h 3min,,United States,India,https://www.justwatch.com/in/movie/rebel-moon-part-two-the-scargiver
97,Angithee 2,(2023),"Drama, Romance",8.0,1h 19min,,India,India,https://www.justwatch.com/in/movie/angithee-2
98,Welcome Home,(2020),"Drama, Mystery & Thriller, Horror, Crime",7.4  (3k),2h 5min,A,India,India,https://www.justwatch.com/in/movie/welcome-home
99,Ticket to Paradise,(2022),"Comedy, Romance, Drama",6.1  (64k),1h 44min,UA,"Japan, United States, United Kingdom",India,https://www.justwatch.com/in/movie/ticket-to-paradise
